member_casual,rideable_type,start_station_name,rides,total_rides_at_station,total_rides_at_station_by_bike_type,total_rides_by_mem_cas_bike_type,total_length_of_trip_min,total_length_of_trip_day
casual,docked_bike,Greenview Ave & Jarvis Ave,106,3344,106,274440,7267.45,5.05
casual,docked_bike,Halsted St & Wrightwood Ave,592,21008,592,274440,29496.1,20.48
casual,docked_bike,Cherry Ave & Blackhawk St,69,2065,69,274440,4454.21,3.09
casual,docked_bike,California Ave & Fletcher St,190,3601,190,274440,6813.25,4.72
casual,docked_bike,Kimbark Ave & 53rd St,452,13841,452,274440,23865.28,16.57
casual,docked_bike,Lake Shore Dr & North Blvd,1762,15121,1762,274440,110725.37,76.91
casual,docked_bike,Clark St & Newport St,983,23569,983,274440,39007.21,27.09
casual,docked_bike,Canal St & Jackson Blvd,280,8466,280,274440,12053.67,8.37
casual,docked_bike,Dearborn St & Van Buren St,563,8722,563,274440,68293.32,47.43
casual,docked_bike,Archer (Damen) Ave & 37th St,78,531,78,274440,5446.15,3.78
casual,docked_bike,Stony Island Ave & 64th St,83,531,83,274440,20074.38,13.94
casual,docked_bike,Delano Ct & Roosevelt Rd,413,7699,413,274440,38446.58,26.7
casual,docked_bike,Wentworth Ave & 35th St,178,2068,178,274440,21721.02,15.09
casual,docked_bike,State St & 35th St,195,4372,195,274440,11463.65,7.97
casual,docked_bike,Damen Ave & Thomas St (Augusta Blvd),234,8980,234,274440,26123.5,18.14
casual,docked_bike,Lincoln Park Conservatory,1754,14868,1754,274440,157061.21,109.08
casual,docked_bike,Clark St & Armitage Ave,1886,33044,1886,274440,87093.0,60.49
casual,docked_bike,State St & 54th St,23,277,23,274440,2459.03,1.71
casual,docked_bike,Ogden Ave & Race Ave,273,11541,273,274440,10269.1,7.13
casual,docked_bike,Clinton St & Polk St,105,1302,105,274440,11085.5,7.71
casual,docked_bike,Lake Park Ave & 35th St,670,3095,670,274440,83973.28,58.33
casual,docked_bike,Michigan Ave & Pearson St,1522,12823,1522,274440,142704.71,99.1
casual,docked_bike,Peoria St & Jackson Blvd,423,16920,423,274440,30234.55,20.98
casual,docked_bike,Montrose Harbor,2956,19480,2956,274440,220614.44,153.18
casual,docked_bike,State St & Randolph St,1297,20248,1297,274440,95044.23,66.0
casual,docked_bike,Clark St & Columbia Ave,60,2585,60,274440,4446.97,3.08
casual,docked_bike,Clinton St & Tilden St,105,3865,105,274440,32773.93,22.76
casual,docked_bike,McClurg Ct & Ohio St,266,5145,266,274440,23718.24,16.47
casual,docked_bike,State St & Harrison St,746,8985,746,274440,49992.43,34.73
casual,docked_bike,Clark St & Bryn Mawr Ave,268,7962,268,274440,23182.45,16.1
casual,docked_bike,Larrabee St & North Ave,189,8218,189,274440,7619.1,5.28
casual,docked_bike,Cottage Grove Ave & 47th St,78,1307,78,274440,12329.61,8.56
casual,docked_bike,Ashland Ave & Belle Plaine Ave,126,3355,126,274440,3889.09,2.69
casual,docked_bike,Southport Ave & Clybourn Ave,363,11291,363,274440,15304.73,10.63
casual,docked_bike,Michigan Ave & 14th St,746,14363,746,274440,52251.07,36.3
casual,docked_bike,Michigan Ave & Ida B Wells Dr,1194,7964,1194,274440,150241.6,104.33
casual,docked_bike,South Shore Dr & 74th St,65,541,65,274440,12176.5,8.46
casual,docked_bike,Damen Ave & Melrose Ave,152,3870,152,274440,9024.74,6.27
casual,docked_bike,Albany Ave & Bloomingdale Ave,288,5406,288,274440,17931.82,12.45
casual,docked_bike,Lake Shore Dr & Monroe St,3124,12318,3124,274440,241955.74,168.0
casual,docked_bike,Buckingham Fountain,2777,12574,2777,274440,283135.45,196.64
casual,docked_bike,Milwaukee Ave & Wabansia Ave,546,14110,546,274440,36835.28,25.57
casual,docked_bike,Sheffield Ave & Wrightwood Ave,569,17439,569,274440,27588.7,19.16
casual,docked_bike,Cottage Grove Ave & 83rd St,21,288,21,274440,26643.92,18.51
casual,docked_bike,Cicero Ave & Lake St,10,289,10,274440,4571.87,3.17
casual,docked_bike,Central Park Ave & Ogden Ave,34,801,34,274440,1235.88,0.86
casual,docked_bike,Ashland Ave & Augusta Blvd,157,8737,157,274440,5513.27,3.83
casual,docked_bike,Avers Ave & Belmont Ave,111,2338,111,274440,16789.4,11.66
casual,docked_bike,Canal St & Madison St,490,15395,490,274440,36822.14,25.56
casual,docked_bike,Streeter Dr & Grand Ave,17066,84259,17066,274440,1218245.08,846.08
casual,docked_bike,Clark St & Schiller St,807,23075,807,274440,40078.66,27.82
casual,docked_bike,Major Taylor Trail & 115th St,16,292,16,274440,1040.82,0.72
casual,docked_bike,Halsted St & Archer Ave,153,2084,153,274440,38225.57,26.55
casual,docked_bike,Lincoln Ave & Winona St,82,2596,82,274440,20730.11,14.4
casual,docked_bike,Clinton St & Madison St,569,27172,569,274440,26258.39,18.24
casual,docked_bike,Damen Ave & Pierce Ave,926,23589,926,274440,40217.73,27.92
casual,docked_bike,Western Ave & 104th St,19,294,19,274440,974.9,0.68
casual,docked_bike,Halsted St & 18th St (Temp),76,1830,76,274440,42592.31,29.57
casual,docked_bike,Sedgwick St & Schiller St,150,6183,150,274440,23524.72,16.34
casual,docked_bike,Wabash Ave & Roosevelt Rd,1562,23335,1562,274440,168229.09,116.82
casual,docked_bike,Dearborn Pkwy & Delaware Pl,679,23847,679,274440,81338.18,56.48
casual,docked_bike,Albany Ave & 26th St,27,296,27,274440,9429.15,6.55
casual,docked_bike,Ewing Ave & Burnham Greenway,16,296,16,274440,2956.59,2.05
casual,docked_bike,Lake Park Ave & 53rd St,491,6952,491,274440,44044.34,30.59
casual,docked_bike,Racine Ave & 15th St,133,3369,133,274440,7993.35,5.56
casual,docked_bike,McClurg Ct & Erie St,1085,20521,1085,274440,81554.44,56.63
casual,docked_bike,Loomis St & Jackson Blvd,207,7210,207,274440,7821.68,5.43
casual,docked_bike,Clarendon Ave & Leland Ave,412,7467,412,274440,46265.27,32.13
casual,docked_bike,Damen Ave & Cortland St,583,13611,583,274440,33706.09,23.42
casual,docked_bike,Wells St & Concord Ln,1347,44075,1347,274440,91321.34,63.41
casual,docked_bike,Ridge Blvd & Touhy Ave,46,812,46,274440,2083.63,1.45
casual,docked_bike,Western Ave & Congress Pkwy,125,3884,125,274440,7204.22,5.0
casual,docked_bike,Wells St & Walton St,269,10284,269,274440,8671.75,6.02
casual,docked_bike,Leavitt St & Armitage Ave,239,6189,239,274440,22954.51,15.94
casual,docked_bike,Clinton St & Jackson Blvd,489,16686,489,274440,39660.4,27.54
casual,docked_bike,Bissell St & Armitage Ave,575,19502,575,274440,25735.87,17.87
casual,docked_bike,Millennium Park,8484,41262,8484,274440,887647.01,616.44
casual,docked_bike,Ellis Ave & 53rd St,194,6447,194,274440,30385.11,21.1
casual,docked_bike,Lakefront Trail & Wilson Ave,1025,9263,1025,274440,77863.58,54.07
casual,docked_bike,Ellis Ave & 55th St,230,16175,230,274440,12510.5,8.68
casual,docked_bike,Carpenter St & 63rd St,7,48,7,274440,5323.38,3.7
casual,docked_bike,Dodge Ave & Mulford St,41,560,41,274440,4737.73,3.29
casual,docked_bike,Rhodes Ave & 32nd St,255,4400,255,274440,30512.27,21.19
casual,docked_bike,Leavitt St & Chicago Ave,94,5168,94,274440,4754.83,3.3
casual,docked_bike,Broadway & Barry Ave,953,30768,953,274440,43659.71,30.32
casual,docked_bike,Rainbow Beach,65,305,65,274440,11490.7,7.98
casual,docked_bike,Calumet Ave & 21st St,459,4401,459,274440,29727.37,20.65
casual,docked_bike,California Ave & Cortez St,224,6193,224,274440,9256.9,6.42
casual,docked_bike,Doty Ave & 111th St,3,50,3,274440,1605.6,1.12
casual,docked_bike,Broadway & Granville Ave,514,7730,514,274440,53519.37,37.17
casual,docked_bike,DuSable Lake Shore Dr & North Blvd,3129,32562,3129,274440,240627.51,167.12
casual,docked_bike,Ashland Ave & Lake St,272,5939,272,274440,11864.5,8.24
casual,docked_bike,Milwaukee Ave & Rockwell St,177,5172,177,274440,7227.42,5.02
casual,docked_bike,Rush St & Hubbard St,694,10292,694,274440,53342.37,37.02
casual,docked_bike,California Ave & Lake St,60,1077,60,274440,9696.9,6.74
casual,docked_bike,St. Clair St & Erie St,1793,29749,1793,274440,159786.63,110.96
casual,docked_bike,Kedzie Ave & Bryn Mawr Ave,57,1080,57,274440,17597.28,12.22
casual,docked_bike,MLK Jr Dr & Pershing Rd,126,1336,126,274440,10331.78,7.17
casual,docked_bike,California Ave & Division St,268,4408,268,274440,13996.99,9.72
casual,docked_bike,Central Ave & Chicago Ave,17,569,17,274440,41450.77,28.79
casual,docked_bike,Clifton Ave & Armitage Ave,310,12345,310,274440,12579.98,8.74
casual,docked_bike,Pine Grove Ave & Irving Park Rd,627,15417,627,274440,39937.78,27.73
casual,docked_bike,Ashland Ave & 13th St,73,2874,73,274440,6076.75,4.22
casual,docked_bike,Rush St & Superior St,1002,20282,1002,274440,97651.1,67.82
casual,docked_bike,Lakeview Ave & Fullerton Pkwy,1344,25146,1344,274440,86946.7,60.38
casual,docked_bike,Rockwell St & Eastwood Ave,85,3131,85,274440,3190.23,2.21
casual,docked_bike,State St & 76th St,6,60,6,274440,21116.23,14.66
casual,docked_bike,Wolcott (Ravenswood) Ave & Montrose Ave,144,5436,144,274440,7919.58,5.5
casual,docked_bike,State St & Van Buren St,595,9532,595,274440,45526.78,31.61
casual,docked_bike,Phillips Ave & 79th St,40,317,40,274440,16537.07,11.48
casual,docked_bike,Wabash Ave & Cermak Rd,291,3901,291,274440,28202.62,19.58
casual,docked_bike,Ogden Ave & Chicago Ave,436,12349,436,274440,22049.99,15.32
casual,docked_bike,Broadway & Waveland Ave,666,21821,666,274440,32614.41,22.66
casual,docked_bike,Wells St & Huron St,700,31037,700,274440,34780.25,24.16
casual,docked_bike,Elizabeth St & 59th St,2,62,2,274440,95.72,0.07
casual,docked_bike,Central Park Ave & North Ave,97,1342,97,274440,8013.75,5.56
casual,docked_bike,Normal Ave & Archer Ave,44,1342,44,274440,3745.89,2.6
casual,docked_bike,Halsted St & 59th St,2,63,2,274440,39.87,0.03
casual,docked_bike,Seeley Ave & Garfield Blvd,8,63,8,274440,552.85,0.38
casual,docked_bike,South Chicago Ave & Elliot Ave,7,63,7,274440,15550.57,10.8
casual,docked_bike,Hoyne Ave & 47th St,30,319,30,274440,1695.2,1.18
casual,docked_bike,Pulaski Rd & Eddy St (Temp),43,575,43,274440,2060.47,1.43
casual,docked_bike,California Ave & Milwaukee Ave,622,13120,622,274440,35391.58,24.57
casual,docked_bike,Greenwood Ave & 47th St,155,2113,155,274440,10671.58,7.41
casual,docked_bike,Logan Blvd & Elston Ave,279,6977,279,274440,28008.53,19.44
casual,docked_bike,Cottage Grove Ave & Oakwood Blvd,222,1602,222,274440,47941.83,33.29
casual,docked_bike,Dorchester Ave & 63rd St,79,835,79,274440,33294.4,23.12
casual,docked_bike,Sheridan Rd & Lawrence Ave,291,6979,291,274440,17575.62,12.2
casual,docked_bike,Wood St & Augusta Blvd,138,6468,138,274440,3711.38,2.58
casual,docked_bike,Wabash Ave & 83rd St,16,69,16,274440,19939.05,13.85
casual,docked_bike,Woodlawn Ave & 75th St,5,69,5,274440,1590.12,1.1
casual,docked_bike,Sheffield Ave & Willow St,346,13637,346,274440,9132.83,6.34
casual,docked_bike,Prairie Ave & Garfield Blvd,118,1606,118,274440,8804.23,6.11
casual,docked_bike,Aberdeen St & Monroe St,671,11590,671,274440,36338.07,25.23
casual,docked_bike,Larrabee St & Armitage Ave,363,11590,363,274440,20920.17,14.53
casual,docked_bike,Racine Ave & 61st St,4,71,4,274440,285.35,0.2
casual,docked_bike,Western Ave & Roscoe St,119,2888,119,274440,5559.62,3.86
casual,docked_bike,Clybourn Ave & Division St,150,7240,150,274440,10342.67,7.19
casual,docked_bike,Harper Ave & 59th St,136,4937,136,274440,7836.77,5.45
casual,docked_bike,Shedd Aquarium,6679,27721,6679,274440,459335.56,318.99
casual,docked_bike,Racine Ave & 65th St,10,74,10,274440,11799.28,8.19
casual,docked_bike,MLK Jr Dr & 47th St,98,842,98,274440,30528.27,21.2
casual,docked_bike,Ogden Ave & Roosevelt Rd,93,1610,93,274440,2728.04,1.89
casual,docked_bike,Avondale Ave & Irving Park Rd,58,1866,58,274440,3904.5,2.71
casual,docked_bike,Sheridan Rd & Greenleaf Ave,226,2378,226,274440,12513.47,8.69
casual,docked_bike,Washtenaw Ave & Lawrence Ave,118,3402,118,274440,33184.3,23.05
casual,docked_bike,California Ave & Francis Pl (Temp),177,4939,177,274440,25530.23,17.73
casual,docked_bike,Benson Ave & Church St,368,6219,368,274440,46065.7,31.99
casual,docked_bike,Western Ave & 111th St,33,332,33,274440,53970.4,37.48
casual,docked_bike,Morgan St & 18th St,257,5708,257,274440,16494.18,11.45
casual,docked_bike,State St & Kinzie St,1415,21068,1415,274440,170393.81,118.32
casual,docked_bike,Lincoln Ave & Fullerton Ave,763,23372,763,274440,54675.72,37.97
casual,docked_bike,Talman Ave & Addison St,129,3405,129,274440,33648.04,23.36
casual,docked_bike,Glenwood Ave & Morse Ave,188,4429,188,274440,29514.98,20.49
casual,docked_bike,Financial Pl & Ida B Wells Dr,222,8013,222,274440,11811.37,8.2
casual,docked_bike,DuSable Lake Shore Dr & Diversey Pkwy,808,16205,808,274440,64284.16,44.65
casual,docked_bike,Pulaski Rd & Lake St,9,334,9,274440,417.37,0.29
casual,docked_bike,Clark St & Elmdale Ave,177,3662,177,274440,18183.15,12.63
casual,docked_bike,Sheridan Rd & Loyola Ave,321,4942,321,274440,29383.72,20.41
casual,docked_bike,Commercial Ave & 100th St,9,79,9,274440,746.15,0.52
casual,docked_bike,DuSable Lake Shore Dr & Belmont Ave,937,16975,937,274440,56099.28,38.97
casual,docked_bike,MLK Jr Dr & 29th St,182,7760,182,274440,29356.3,20.38
casual,docked_bike,Broadway & Cornelia Ave,752,21840,752,274440,36422.87,25.3
casual,docked_bike,Halsted St & 69th St,13,81,13,274440,969.99,0.67
casual,docked_bike,Hegewisch Metra Station,2,81,2,274440,352.3,0.24
casual,docked_bike,Drake Ave & Montrose Ave,75,1361,75,274440,11814.42,8.2
casual,docked_bike,Canal St & Harrison St,124,3409,124,274440,14060.28,9.76
casual,docked_bike,Western Ave & Division St,238,6225,238,274440,7361.56,5.11
casual,docked_bike,Calumet Ave & 18th St,703,9809,703,274440,51705.55,35.9
casual,docked_bike,Columbus Dr & Randolph St,1681,22097,1681,274440,132638.16,92.12
casual,docked_bike,Francisco Ave & Foster Ave,175,2386,175,274440,8997.51,6.25
casual,docked_bike,Halsted St & Roosevelt Rd,194,5714,194,274440,7521.54,5.22
casual,docked_bike,Calumet Ave & 71st St,16,83,16,274440,1200.58,0.83
casual,docked_bike,Elizabeth St & 47th St,7,83,7,274440,90.73,0.06
casual,docked_bike,Western Ave & 21st St,94,1875,94,274440,16756.75,11.63
casual,docked_bike,Kimball Ave & Belmont Ave,96,2643,96,274440,4701.22,3.26
casual,docked_bike,Desplaines St & Randolph St,500,13139,500,274440,34801.86,24.17
casual,docked_bike,Sheffield Ave & Waveland Ave,1190,20563,1190,274440,85352.4,59.29
casual,docked_bike,Prospect Sq & 91st St,38,340,38,274440,41283.23,28.67
casual,docked_bike,Michigan Ave & 114th St,5,87,5,274440,3050.57,2.12
casual,docked_bike,Cottage Grove Ave & 67th St,12,343,12,274440,2450.75,1.7
casual,docked_bike,Western Ave & Walton St,312,7767,312,274440,10754.4,7.47
casual,docked_bike,Hale Ave & 107th St,38,344,38,274440,2171.71,1.51
casual,docked_bike,Wolcott Ave & Polk St,65,10584,65,274440,3983.92,2.77
casual,docked_bike,Canal St & Monroe St,358,10840,358,274440,29164.91,20.25
casual,docked_bike,Broadway & Sheridan Rd,478,15192,478,274440,45746.4,31.78
casual,docked_bike,Racine Ave & Fullerton Ave,367,16984,367,274440,15938.55,11.08
casual,docked_bike,Green St & Randolph St,812,19800,812,274440,27443.45,19.05
casual,docked_bike,Torrence Ave & 126th Pl,4,89,4,274440,328.85,0.23
casual,docked_bike,Kedzie Ave & Roosevelt Rd,39,345,39,274440,43209.93,30.01
casual,docked_bike,Kedzie Ave & Lake St,48,857,48,274440,15201.6,10.56
casual,docked_bike,Wood St & 35th St,35,857,35,274440,1027.43,0.72
casual,docked_bike,Noble St & Milwaukee Ave,334,10073,334,274440,11252.14,7.81
casual,docked_bike,Wabash Ave & Adams St,930,11097,930,274440,150306.9,104.4
casual,docked_bike,Clark St & Randolph St,675,17497,675,274440,46364.3,32.2
casual,docked_bike,Wilton Ave & Belmont Ave,976,29274,976,274440,116079.09,80.6
casual,docked_bike,Greenwood Ave & 91st St,5,91,5,274440,4603.82,3.2
casual,docked_bike,Austin Blvd & Chicago Ave,27,347,27,274440,12717.85,8.83
casual,docked_bike,Stockton Dr & Wrightwood Ave,888,18011,888,274440,53826.66,37.39
casual,docked_bike,May St & Cullerton St,91,2396,91,274440,4887.37,3.39
casual,docked_bike,Halsted St & North Branch St,58,2652,58,274440,2720.6,1.89
casual,docked_bike,Wood St & Hubbard St,117,4956,117,274440,3715.42,2.58
casual,docked_bike,Bradley Park,3,94,3,274440,84.68,0.06
casual,docked_bike,Ashland Ave & Wrightwood Ave,250,7774,250,274440,30090.76,20.89
casual,docked_bike,Desplaines St & Kinzie St,535,25694,535,274440,50971.75,35.4
casual,docked_bike,Throop St & 52nd St,14,95,14,274440,40204.87,27.92
casual,docked_bike,Shields Ave & 31st St,71,3423,71,274440,2643.15,1.83
casual,docked_bike,Halsted St & Maxwell St,396,9055,396,274440,18799.82,13.05
casual,docked_bike,Marshfield Ave & 59th St,8,96,8,274440,220.75,0.15
casual,docked_bike,Southport Ave & Belmont Ave,365,11360,365,274440,33200.33,23.05
casual,docked_bike,Loomis St & Lexington St,305,18784,305,274440,12230.17,8.5
casual,docked_bike,Racine Ave & Belmont Ave,473,15457,473,274440,20633.96,14.33
casual,docked_bike,Laramie Ave & Gladys Ave,3,98,3,274440,175.32,0.12
casual,docked_bike,Indiana Ave & 40th St,30,611,30,274440,3085.13,2.14
casual,docked_bike,Racine Ave & Wrightwood Ave,139,9315,139,274440,7294.45,5.07
casual,docked_bike,Wood St & Milwaukee Ave,599,17251,599,274440,38737.46,26.91
casual,docked_bike,Rhodes Ave & 71st St,6,100,6,274440,3398.92,2.36
casual,docked_bike,Kilbourn Ave & Milwaukee Ave,23,356,23,274440,9644.55,6.7
casual,docked_bike,State St & Pershing Rd,13,356,13,274440,843.45,0.59
casual,docked_bike,Halsted St & 21st St,116,2148,116,274440,7404.55,5.14
casual,docked_bike,Halsted St & Roscoe St,755,23908,755,274440,37644.39,26.13
casual,docked_bike,Spaulding Ave & Armitage Ave,219,4453,219,274440,13179.23,9.15
casual,docked_bike,Ravenswood Ave & Lawrence Ave,358,14437,358,274440,23138.79,16.06
casual,docked_bike,Morgan St & Lake St,835,21093,835,274440,37754.12,26.22
casual,docked_bike,Damen Ave & 51st St,9,102,9,274440,600.7,0.42
casual,docked_bike,Eberhart Ave & 61st St,28,614,28,274440,2216.36,1.54
casual,docked_bike,Spaulding Ave & Division St,134,2406,134,274440,17877.18,12.42
casual,docked_bike,Wells St & Evergreen Ave,781,26214,781,274440,33484.54,23.24
casual,docked_bike,Torrence Ave & 106th St,7,103,7,274440,497.28,0.35
casual,docked_bike,California Ave & 23rd Pl,40,871,40,274440,4379.07,3.04
casual,docked_bike,Valli Produce - Evanston Plaza,31,1127,31,274440,1191.2,0.83
casual,docked_bike,Lake Shore Dr & Diversey Pkwy,474,5991,474,274440,25001.16,17.36
casual,docked_bike,Greenview Ave & Fullerton Ave,434,13671,434,274440,47794.77,33.18
casual,docked_bike,Ashland Ave & 66th St,7,104,7,274440,4688.1,3.26
casual,docked_bike,Avenue O & 134th St,7,105,7,274440,4875.72,3.39
casual,docked_bike,Wentworth Ave & 104th St,1,105,1,274440,120.38,0.08
casual,docked_bike,Halsted St & 56th St,8,106,8,274440,721.72,0.5
casual,docked_bike,Ashland Ave & Division St,903,26730,903,274440,57239.49,39.74
casual,docked_bike,Cicero Ave & Quincy St,7,107,7,274440,2555.67,1.77
casual,docked_bike,Theater on the Lake,4045,35947,4045,274440,223796.86,155.41
casual,docked_bike,Cicero Ave & Flournoy St,5,108,5,274440,306.53,0.21
casual,docked_bike,Claremont Ave & Hirsch St,60,2924,60,274440,1980.8,1.38
casual,docked_bike,Broadway & Argyle St,356,9580,356,274440,29588.74,20.55
casual,docked_bike,Sedgwick St & Webster Ave,528,16236,528,274440,27501.18,19.1
casual,docked_bike,Eberhart Ave & 131st St,6,109,6,274440,18665.37,12.96
casual,docked_bike,Manor Ave & Leland Ave,56,2157,56,274440,3820.82,2.65
casual,docked_bike,Pine Grove Ave & Waveland Ave,785,20333,785,274440,55906.26,38.84
casual,docked_bike,California Ave & 21st St,73,1390,73,274440,3638.58,2.52
casual,docked_bike,Ashland Ave & Blackhawk St,268,11374,268,274440,9533.98,6.62
casual,docked_bike,Clarendon Ave & Junior Ter,430,12654,430,274440,27162.26,18.87
casual,docked_bike,Clinton St & Washington Blvd,418,24174,418,274440,34337.47,23.84
casual,docked_bike,Millard Ave & 26th St,25,367,25,274440,2139.4,1.48
casual,docked_bike,Hoyne Ave & Balmoral Ave,39,2415,39,274440,3491.47,2.42
casual,docked_bike,Wells St & Polk St,424,13423,424,274440,38275.6,26.58
casual,docked_bike,MLK Jr Dr & 83rd St,23,112,23,274440,895.2,0.63
casual,docked_bike,Vernon Ave & 107th St,5,113,5,274440,5976.98,4.15
casual,docked_bike,Walden Pkwy & 100th St,22,369,22,274440,18868.83,13.1
casual,docked_bike,Winthrop Ave & Lawrence Ave,163,7025,163,274440,8976.11,6.23
casual,docked_bike,Clark St & Winnemac Ave,383,13682,383,274440,30779.27,21.38
casual,docked_bike,Bennett Ave & 79th St,17,115,17,274440,715.05,0.5
casual,docked_bike,California Ave & Altgeld St,151,4467,151,274440,6841.45,4.75
casual,docked_bike,Clarendon Ave & Gordon Ter,385,13939,385,274440,21668.36,15.06
casual,docked_bike,Kenton Ave & Madison St,11,117,11,274440,32996.49,22.91
casual,docked_bike,Sacramento Blvd & Franklin Blvd,20,373,20,274440,5245.67,3.64
casual,docked_bike,State St & Chicago Ave,109,4213,109,274440,23981.68,16.66
casual,docked_bike,Dayton St & North Ave,446,13173,446,274440,20637.35,14.35
casual,docked_bike,Ashland Ave & Garfield Blvd,13,118,13,274440,1041.02,0.73
casual,docked_bike,Ashland Ave & McDowell Ave,23,374,23,274440,595.8,0.41
casual,docked_bike,Morgan Ave & 14th Pl,118,4982,118,274440,5369.49,3.73
casual,docked_bike,Sheridan Rd & Buena Ave,248,9846,248,274440,15790.99,10.96
casual,docked_bike,Lincoln Ave & Addison St,179,3703,179,274440,18674.79,12.96
casual,docked_bike,Altgeld Gardens,10,120,10,274440,653.7,0.45
casual,docked_bike,Phillips Ave & 83rd St,5,120,5,274440,609.33,0.42
casual,docked_bike,South Chicago Ave & 83rd St,6,120,6,274440,5326.2,3.7
